"","X.Formula.","X.Neighbor.Matrix.","X.Log.Likelihood.","X.ML.Residual.Variance.","X.AIC."
"1","Formula","Neighbor Matrix","Log Likelihood","ML Residual Variance","AIC"
"1","model_1","A.distance0.5km",-24451.7777436378,0.843530762015719,48927.5554872756
"1","model_1","A.distance1km",-24468.7246733266,0.847494296189624,48961.4493466533
"1","model_1","A.distance1.5km",-24565.6989672995,0.866272586253387,49155.3979345991
"1","model_1","A.queen_shared_edge",-24442.2015398272,0.841051040710053,48908.4030796545
"1","model_1","A.rook_shared_edge",-24420.1595245969,0.835596768546407,48864.3190491939
"1","model_1","A.lag2",-24470.372529315,0.8459294272224,48964.7450586301
"1","model_1","A.lag4",-24581.8454124192,0.869240297795972,49187.6908248383
"1","model_1","A.nearest4",-24471.1628196426,0.845278937745278,48966.3256392851
"1","model_2","A.distance0.5km",-24452.7327322116,0.843750725550848,48925.4654644233
"1","model_2","A.distance1km",-24471.5542318428,0.848113392255876,48963.1084636856
"1","model_2","A.distance1.5km",-24567.2371070065,0.866525551098616,49154.474214013
"1","model_2","A.queen_shared_edge",-24443.2110186828,0.841287871820739,48906.4220373656
"1","model_2","A.rook_shared_edge",-24421.3180394997,0.835834420683213,48862.6360789995
"1","model_2","A.lag2",-24472.0343233603,0.846401576782299,48964.0686467207
"1","model_2","A.lag4",-24582.9633765755,0.869439227075085,49185.926753151
"1","model_2","A.nearest4",-24472.1696966241,0.845478073199699,48964.3393932482
"1","model_3","A.distance0.5km",-24449.3028012272,0.843594120114887,48926.6056024544
"1","model_3","A.distance1km",-24466.102242231,0.847475297042867,48960.204484462
"1","model_3","A.distance1.5km",-24561.3739992063,0.866001561532469,49150.7479984125
"1","model_3","A.queen_shared_edge",-24439.834322097,0.841129975593534,48907.668644194
"1","model_3","A.rook_shared_edge",-24417.1227225244,0.835619867673093,48862.2454450487
"1","model_3","A.lag2",-24467.9272908263,0.84594499813943,48963.8545816526
"1","model_3","A.lag4",-24577.3072450536,0.868873913492106,49182.6144901071
"1","model_3","A.nearest4",-24467.834311497,0.84526599212593,48963.6686229941
"1","model_4","A.distance0.5km",-24447.8198849066,0.84329916430349,48927.6397698132
"1","model_4","A.distance1km",-24461.7523365622,0.846947850763932,48955.5046731244
"1","model_4","A.distance1.5km",-24554.9916218185,0.8651585609384,49141.9832436369
"1","model_4","A.queen_shared_edge",-24438.0069784906,0.840759365684423,48908.0139569812
"1","model_4","A.rook_shared_edge",-24416.1584380391,0.835415081031219,48864.3168760783
"1","model_4","A.lag2",-24463.3205002028,0.845267525138555,48958.6410004056
"1","model_4","A.lag4",-24572.195312364,0.868146927187606,49176.390624728
"1","model_4","A.nearest4",-24467.1428615057,0.845125306020834,48966.2857230114
"1","model_5","A.distance0.5km",-24409.2934619678,0.840837182565621,48854.5869239357
"1","model_5","A.distance1km",-24424.9609721413,0.843981326782083,48885.9219442825
