"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.459540818912317,0.0113491747708008,40.4911218826786,0,"(Intercept)","model_5","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.0500783497272588,0.00911647014958636,-5.49317322445585,3.9477522362219e-08,"LDN_grid$pc_f.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.589718767703209,0.0187340054490451,-31.4785201331981,0,"LDN_grid$pop_den.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0224037934946879,0.0371958710185799,-0.602319367208713,0.54696157149357,"LDN_grid$pc_65_plus.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0274099017190192,0.0356119282838045,-0.769683166285736,0.441487858045133,"LDN_grid$pc_50_plus.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.043157162900264,0.015240114206716,2.83181361470675,0.00462848196538879,"LDN_grid$pc_bad_gh.scaled","model_5","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0785616021191103,0.0174447369177052,-4.50345582680445,6.68572695272651e-06,"LDN_grid$avg_hos_dpr.scaled","model_5","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.925505311365378,0.0164234351835945,56.3527240811274,0,"LDN_grid$WD_pop_den.scaled","model_5","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.236852901500062,0.00745983931387075,31.7504025937476,0,"LDN_grid$count_sports.scaled","model_5","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",0.00489106628511977,0.00736541277330166,0.664058680166445,0.506652754717913,"LDN_grid$count_CHs.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0130238457831144,0.0079851802819742,1.63100209678604,0.102889877077799,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled",0.00495036790653698,0.0380964976823101,0.129942861094962,0.896611633494343,"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0124542955065882,0.0328807951290605,0.378771117234357,0.704857837156303,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled",-0.0225148525222733,0.0132695032232221,-1.69673665573791,0.0897464592752095,"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled",0.0430097106180404,0.0147754780140296,2.91088454648992,0.00360407164607701,"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0583097597194486,0.00667403261564972,-8.73681072260869,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_5","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.0111258065159029,0.00724718540634586,1.53518999336774,0.124737165601443,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_5","A.rook_shared_edge"
